-75.704794,None green
-75.7043817,None green
-75.7035877,None green
-75.7028796,None green
-75.7019516,None green
-75.7011845,None green
-75.7005461,None green
-75.6993404,None green
-75.6985646,None green
-75.6978156,None green
-75.696673,None green
-75.7014312,None green
-75.7008304,None green
-75.7006641,None green
-75.6998306,None green
-75.7000472,None green
-75.7006802,None green
-75.700927,None green
-75.7011791,None green
-75.701796,None green
-75.7021071,None green
-75.694986,None green
-75.6940204,None green
-75.6931621,None green
-75.6920222,None green
-75.6908232,None green
-75.6894714,None green
-75.6877763,None green
-75.6864352,None green
-75.6892074,None green
-75.6888212,None green
-75.6884886,None green
-75.688097,None green
-75.687464,None green
-75.6871261,None green
-75.6868417,None green
-75.6871797,None green
-75.701661,None green
-75.7014894,None green
-75.7012533,None green
-75.7010817,None green
-75.700927,None green
-75.7007813,None green
-75.7006096,None green
-75.7003843,None green
-75.7002234,None green
-75.7000472,None green
-75.69988,None green
-75.6997571,None green
-75.6996069,None green
-75.6994353,None green
-75.6993012,None green
-75.699568,None green
-75.6994782,None green
-75.6996445,None green
-75.6997196,None green
-75.69988,None green
-75.7002234,None green
-75.7000844,None green
-75.6999127,None green
-75.7003097,None green
-75.700476,None green
-75.7003843,None green
-75.7002902,None green
-75.7000844,None green
-75.7000146,None green
-75.7000844,None green
-75.700476,None green
-75.7003097,None green
-75.7000656,None green
-75.7000938,None green
-75.6999556,None green
-75.700258,None green
-75.7002279,None green
-75.7003244,None green
-75.7004371,None green
-75.7005336,None green
-75.7005061,None green
-75.7004619,None green
-75.7002755,None green
-75.7001172,None green
-75.7001782,None green
-75.7001923,None green
-75.7000555,None green
-75.7001474,None green
-75.7001675,None green
-75.7001923,None green
-75.7002138,None green
-75.7002882,None green
-75.7003553,None green
-75.700366,None green
-75.6999704,None green
-75.6999791,None green
-75.6999992,None green
-75.7000166,None green
-75.7000415,None green
-75.7000616,None green
-75.7000783,None green
-75.7001065,None green
-75.7001259,None green
-75.7001474,None green
-75.7001508,None green
-75.7001749,None green
-75.7001963,None green
-75.7002413,None green
-75.6928283,None green
-75.6922275,None green
-75.6922463,None green
-75.6923268,None green
-75.692367,None green
-75.6924636,None green
-75.6926406,None green
-75.6927747,None green
-75.6926567,None green
-75.6930697,None green
-75.6929571,None green
-75.6928739,None green
-75.6921739,None green
-75.6920907,None green
-75.6919888,None green
-75.6919003,None green
-75.6862607,None green
-75.6860435,None green
-75.6853702,None green
-75.6836568,None green
-75.6835334,None green
-75.6834476,None green
-75.6833645,None green
-75.6832947,None green
-75.6831794,None green
-75.6830506,None green
-75.6818324,None green
-75.6816742,None green
-75.6815669,None green
-75.6814408,None green
-75.6812745,None green
-75.6811538,None green
-75.6809982,None green
-75.6808534,None green
-75.674814,None green
-75.6748328,None green
-75.675616,None green
-75.6742024,None green
-75.674181,None green
-75.6740603,None green
-75.6739986,None green
-75.6738725,None green
-75.6738457,None green
-75.673626,None green
-75.6735281,None green
-75.6782051,None green
-75.6781662,None green
-75.6781447,None green
-75.6781152,None green
-75.6780797,None green
-75.6780683,None green
-75.6780106,None green
-75.6779932,None green
-75.6779657,None green
-75.6779429,None green
-75.6779308,None green
-75.6779033,None green
-75.6778825,None green
-75.6778416,None green
-75.6786215,None green
-75.6789306,None green
-75.6789152,None green
-75.6788991,None green
-75.6788649,None green
-75.6788387,None green
-75.6788146,None green
-75.678765,None green
-75.6787281,None green
-75.6786838,None green
-75.6786731,None green
-75.678979,None green
-75.6789662,None green
-75.6789589,None green
-75.6789414,None green
-75.6789294,None green
-75.6788932,None green
-75.6788838,None green
-75.6788744,None green
-75.6788649,None green
-75.6788556,None green
-75.6788315,None green
-75.6793137,None green
-75.6792936,None green
-75.6792654,None green
-75.6792319,None green
-75.6792038,None green
-75.6791769,None green
-75.6791515,None green
-75.6791407,None green
-75.6790656,None green
-75.6791079,None green
-75.6791193,None green
-75.6788266,None green
-75.6784672,None green
-75.6765843,None green
-75.6758826,None green
-75.677398,None green
-75.6772854,None green
-75.6785582,None green
-75.6781505,None green
-75.6773942,None green
-75.6778953,None green
-75.6775024,None green
-75.677155,None green
-75.6769834,None green
-75.6785972,None green
-75.6788521,None green
-75.6819315,None green
-75.6818323,None green
-75.6817759,None green
-75.6814526,None green
-75.68135,None green
-75.6809231,None green
-75.6808548,None green
-75.6807528,None green
-75.6805682,None green
-75.6805219,None green
-75.6804843,None green
-75.6804361,None green
-75.6803958,None green
-75.6812038,None green
-75.6809047,None green
-75.6802369,None green
-75.6808685,None green
-75.6807907,None green
-75.6807478,None green
-75.6807156,None green
-75.680662,None green
-75.6806405,None green
-75.6806137,None green
-75.6805721,None green
-75.6805306,None green
-75.6837628,None green
-75.683634,None green
-75.6835294,None green
-75.6826389,None green
-75.6828776,None green
-75.6829366,None green
-75.683178,None green
-75.6840587,None green
-75.6852791,None green
-75.687843,None green
-75.6880146,None green
-75.6882131,None green
-75.6877399,None green
-75.687697,None green
-75.6903317,None green
-75.6901252,None green
-75.6906884,None green
-75.6941327,None green
-75.6957903,None green
-75.6968257,None green
-75.6995257,None green
-75.6998047,None green
-75.7023172,None green
-75.702175,None green
-75.7011437,None green
-75.7027801,None green
-75.7020211,None green
-75.7069046,None green
-75.7068563,None green
-75.7068469,None green
-75.706808,None green
-75.7060919,None green
-75.7060463,None green
-75.7089499,None green
-75.708392,None green
-75.70781,None green
-75.7079253,None green
-75.7081372,None green
-75.7088989,None green
-75.707759,None green
-75.7133529,None green
-75.6789526,None green
-75.6764636,None green
-75.6744465,None green
-75.6774828,None green
-75.6769893,None green
-75.6749757,None green
-75.6749757,None green
-75.6749275,None green
-75.6749704,None green
-75.6748685,None green
-75.6747773,None green
-75.6746914,None green
-75.673316,None green
-75.6804339,None green
-75.6791357,None green
-75.6790445,None green
-75.6800477,None green
-75.6767807,None green
-75.6781648,None green
-75.6781862,None green
-75.6735982,None green
-75.6746925,None green
-75.6746282,None green
-75.6730564,None green
-75.6718762,None green
-75.6870155,None green
-75.686758,None green
-75.6840329,None green
-75.6842689,None green
-75.687906,None green
-75.6909637,None green
-75.6922619,None green
-75.6922297,None green
-75.6918435,None green
-75.6929271,None green
-75.6904487,None green
-75.6893115,None green
-75.6999641,None green
-75.6997818,None green
-75.6991595,None green
-75.6988591,None green
-75.6986338,None green
-75.6962091,None green
-75.6960052,None green
-75.7017988,None green
-75.7021314,None green
-75.7026142,None green
-75.7042771,None green
-75.7019168,None green
-75.6995779,None green
-75.6969115,None green
-75.6967827,None green
-75.6966003,None green
-75.6963643,None green
-75.6963107,None green
-75.6928131,None green
-75.6947872,None green
-75.6944653,None green
-75.6910965,None green
-75.6903884,None green
-75.6901845,None green
-75.6900021,None green
-75.6898734,None green
-75.6883284,None green
-75.6880495,None green
-75.68791,None green
-75.6878778,None green
-75.6969021,None green
-75.6965802,None green
-75.6988976,None green
-75.700743,None green
-75.7041333,None green
-75.7029317,None green
-75.6941126,None green
-75.68804,None green
-75.6857655,None green
-75.6923316,None green
-75.6882546,None green
-75.6934045,None green
-75.689349,None green
-75.6874821,None green
-75.6864307,None green
-75.6869242,None green
-75.6872246,None green
-75.6874821,None green
-75.6842206,None green
-75.6828473,None green
-75.673196,None green
-75.6917978,None green
-75.6876994,None green
-75.6865406,None green
-75.6955905,None green
-75.6956763,None green
-75.6934877,None green
-75.6934877,None green
-75.6911702,None green
-75.6930698,None green
-75.6958164,None green
-75.6879414,None green
-75.6880273,None green
-75.6892933,None green
-75.6890572,None green
-75.6888427,None green
-75.6886925,None green
-75.6885423,None green
-75.688435,None green
-75.6903662,None green
-75.6902589,None green
-75.6901623,None green
-75.6900443,None green
-75.6899585,None green
-75.689937,None green
-75.6898834,None green
-75.6898941,None green
-75.6898083,None green
-75.6897653,None green
-75.6897332,None green
-75.6897332,None green
-75.6896259,None green
-75.6894649,None green
-75.6907739,None green
-75.6906451,None green
-75.6897467,None green
-75.6898218,None green
-75.6898218,None green
-75.6902295,None green
-75.6908733,None green
-75.6907231,None green
3,None green
6,None green
