WKT,nom,description
"POINT (-75.6832947 45.4124393)",,Point 131
"POINT (-75.6831794 45.4124751)",,Point 132
"POINT (-75.6830506 45.4125147)",,Point 133
"POINT (-75.6818324 45.4129232)",,Point 134
"POINT (-75.6816742 45.4129853)",,Point 135
"POINT (-75.6815669 45.4130305)",,Point 136
"POINT (-75.6814408 45.4130832)",,Point 137
"POINT (-75.6812745 45.4131227)",,Point 138
"POINT (-75.6811538 45.4131811)",,Point 139
"POINT (-75.6809982 45.4132282)",,Point 140
"POINT (-75.6808534 45.4132753)",,Point 141
"POINT (-75.674814 45.4165836)",,Point 142
"POINT (-75.6748328 45.416512)",,Point 143
"POINT (-75.675616 45.4158154)",,Point 144
"POINT (-75.6742024 45.4168547)",,Point 145
"POINT (-75.674181 45.4167493)",,Point 146
"POINT (-75.6740603 45.4166721)",,Point 147
"POINT (-75.6739986 45.416561)",,Point 148
"POINT (-75.6738725 45.4164725)",,Point 149
"POINT (-75.6738457 45.4163991)",,Point 150
"POINT (-75.673626 45.4160551)",,Point 151
"POINT (-75.6735281 45.4160975)",,Point 152
"POINT (-75.6782051 45.4186392)",,Point 153
"POINT (-75.6781662 45.4186284)",,Point 154
"POINT (-75.6781447 45.4186171)",,Point 155
"POINT (-75.6781152 45.4186105)",,Point 156
"POINT (-75.6780797 45.4186025)",,Point 157
"POINT (-75.6780683 45.4185954)",,Point 158
"POINT (-75.6780106 45.4185785)",,Point 159
"POINT (-75.6779932 45.41857)",,Point 160
"POINT (-75.6779657 45.4185616)",,Point 161
"POINT (-75.6779429 45.4185535)",,Point 162
"POINT (-75.6779308 45.4185484)",,Point 163
"POINT (-75.6779033 45.4185437)",,Point 164
"POINT (-75.6778825 45.4185375)",,Point 165
"POINT (-75.6778416 45.4185192)",,Point 166
"POINT (-75.6786215 45.4187652)",,Point 167
"POINT (-75.6789306 45.418873)",,Point 168
"POINT (-75.6789152 45.418864)",,Point 169
"POINT (-75.6788991 45.4188551)",,Point 170
"POINT (-75.6788649 45.4188471)",,Point 171
"POINT (-75.6788387 45.4188339)",,Point 172
"POINT (-75.6788146 45.4188325)",,Point 173
"POINT (-75.678765 45.4188193)",,Point 174
"POINT (-75.6787281 45.4188052)",,Point 175
"POINT (-75.6786838 45.4187948)",,Point 176
"POINT (-75.6786731 45.4187897)",,Point 177
"POINT (-75.678979 45.4188899)",,Point 178
"POINT (-75.6789662 45.4188833)",,Point 179
"POINT (-75.6789589 45.4188772)",,Point 180
"POINT (-75.6789414 45.4188683)",,Point 181
"POINT (-75.6789294 45.4188636)",,Point 182
"POINT (-75.6788932 45.4188636)",,Point 183
"POINT (-75.6788838 45.4188532)",,Point 184
"POINT (-75.6788744 45.4188476)",,Point 185
"POINT (-75.6788649 45.4188471)",,Point 186
"POINT (-75.6788556 45.4188485)",,Point 187
"POINT (-75.6788315 45.4188358)",,Point 188
"POINT (-75.6793137 45.4190022)",,Point 189
"POINT (-75.6792936 45.4189895)",,Point 190
"POINT (-75.6792654 45.4189791)",,Point 191
"POINT (-75.6792319 45.4189693)",,Point 192
"POINT (-75.6792038 45.4189622)",,Point 193
"POINT (-75.6791769 45.4189556)",,Point 194
"POINT (-75.6791515 45.4189471)",,Point 195
"POINT (-75.6791407 45.4189377)",,Point 196
"POINT (-75.6790656 45.418917)",,Point 197
"POINT (-75.6791079 45.4189236)",,Point 198
"POINT (-75.6791193 45.4189297)",,Point 199
"POINT (-75.6788266 45.4219164)",,Point 200
"POINT (-75.6784672 45.4214985)",,Point 201
"POINT (-75.6765843 45.4215079)",,Point 202
"POINT (-75.6758826 45.423157)",,Point 203
"POINT (-75.677398 45.4233039)",,Point 204
"POINT (-75.6772854 45.423157)",,Point 205
"POINT (-75.6785582 45.4263388)",,Point 207
"POINT (-75.6781505 45.4258719)",,Point 208
"POINT (-75.6773942 45.4249571)",,Point 209
"POINT (-75.6778953 45.427429)",,Point 210
"POINT (-75.6775024 45.427605)",,Point 211
"POINT (-75.677155 45.4277612)",,Point 212
"POINT (-75.6769834 45.4275711)",,Point 213
"POINT (-75.6785972 45.4280587)",,Point 214
"POINT (-75.6788521 45.4283382)",,Point 215
"POINT (-75.6819315 45.4270186)",,Point 216
"POINT (-75.6818323 45.4270544)",,Point 217
"POINT (-75.6817759 45.426804)",,Point 218
"POINT (-75.6814526 45.4264355)",,Point 219
"POINT (-75.68135 45.4263009)",,Point 220
"POINT (-75.6809231 45.425799)",,Point 221
"POINT (-75.6808548 45.425735)",,Point 222
"POINT (-75.6807528 45.4256164)",,Point 223
"POINT (-75.6805682 45.425396)",,Point 224
"POINT (-75.6805219 45.4253546)",,Point 225
"POINT (-75.6804843 45.4253066)",,Point 226
"POINT (-75.6804361 45.4252473)",,Point 227
"POINT (-75.6803958 45.4252021)",,Point 228
"POINT (-75.6812038 45.4238266)",,Point 229
"POINT (-75.6809047 45.4239612)",,Point 230
"POINT (-75.6802369 45.4242549)",,Point 231
"POINT (-75.6808685 45.4243472)",,Point 232
"POINT (-75.6807907 45.4242634)",,Point 233
"POINT (-75.6807478 45.4242144)",,Point 234
"POINT (-75.6807156 45.4241561)",,Point 235
"POINT (-75.680662 45.4241128)",,Point 236
"POINT (-75.6806405 45.4240723)",,Point 237
"POINT (-75.6806137 45.4240262)",,Point 238
"POINT (-75.6805721 45.4239867)",,Point 239
"POINT (-75.6805306 45.4239339)",,Point 240
"POINT (-75.6837628 45.424971)",,Point 241
"POINT (-75.683634 45.425003)",,Point 242
"POINT (-75.6835294 45.4250463)",,Point 243
"POINT (-75.6826389 45.425436)",,Point 244
"POINT (-75.6828776 45.4253287)",,Point 246
"POINT (-75.6829366 45.4252986)",,Point 247
"POINT (-75.683178 45.4252139)",,Point 248
"POINT (-75.6840587 45.4266993)",,Point 249
"POINT (-75.6852791 45.426479)",,Point 250
"POINT (-75.687843 45.4249918)",,Point 251
"POINT (-75.6880146 45.4249165)",,Point 252
"POINT (-75.6882131 45.42486)",,Point 253
"POINT (-75.6877399 45.4238987)",,Point 254
"POINT (-75.687697 45.4237557)",,Point 255
"POINT (-75.6903317 45.4221636)",,Point 256
"POINT (-75.6901252 45.4222417)",,Point 257
"POINT (-75.6906884 45.4220403)",,Point 258
"POINT (-75.6941327 45.4127906)",,Point 259
"POINT (-75.6957903 45.4112541)",,Point 260
"POINT (-75.6968257 45.4124667)",,Point 261
"POINT (-75.6995257 45.4156207)",,Point 262
"POINT (-75.6998047 45.4159973)",,Point 263
"POINT (-75.7023172 45.4131455)",,Point 264
"POINT (-75.702175 45.4129798)",,Point 265
"POINT (-75.7011437 45.4134016)",,Point 266
"POINT (-75.7027801 45.4109868)",,Point 267
"POINT (-75.7020211 45.4112843)",,Point 268
"POINT (-75.7069046 45.4082699)",,Point 269
"POINT (-75.7068563 45.4081899)",,Point 270
"POINT (-75.7068469 45.4081475)",,Point 271
"POINT (-75.706808 45.4081051)",,Point 272
"POINT (-75.7060919 45.4082294)",,Point 273
"POINT (-75.7060463 45.4081833)",,Point 274
"POINT (-75.7089499 45.4069691)",,Point 275
"POINT (-75.708392 45.4058505)",,Point 276
"POINT (-75.70781 45.4061838)",,Point 277
"POINT (-75.7079253 45.406133)",,Point 278
"POINT (-75.7081372 45.40602)",,Point 279
"POINT (-75.7088989 45.4066941)",,Point 280
"POINT (-75.707759 45.4072873)",,Point 281
"POINT (-75.7133529 45.4042186)",,Point 282
"POINT (-75.6789526 45.4106596)",,Point 283
"POINT (-75.6764636 45.4112546)",,Point 284
"POINT (-75.6744465 45.4132203)",,Point 285
"POINT (-75.6774828 45.4129417)",,Point 286
"POINT (-75.6769893 45.412196)",,Point 287
"POINT (-75.6749757 45.4152879)",,Point 288
"POINT (-75.6749757 45.4152089)",,Point 289
"POINT (-75.6749275 45.4150432)",,Point 290
"POINT (-75.6749704 45.4150168)",,Point 291
"POINT (-75.6748685 45.4148963)",,Point 292
"POINT (-75.6747773 45.4148436)",,Point 293
"POINT (-75.6746914 45.4147833)",,Point 294
"POINT (-75.673316 45.41527)",,Point 295
"POINT (-75.6804339 45.4132496)",,Point 296
"POINT (-75.6791357 45.4140668)",,Point 297
"POINT (-75.6790445 45.4138672)",,Point 298
"POINT (-75.6800477 45.4134793)",,Point 299
"POINT (-75.6767807 45.415189)",,Point 300
"POINT (-75.6781648 45.4144773)",,Point 301
"POINT (-75.6781862 45.4143342)",,Point 302
"POINT (-75.6735982 45.4166186)",,Point 303
"POINT (-75.6746925 45.4161479)",,Point 304
"POINT (-75.6746282 45.4159897)",,Point 305
"POINT (-75.6730564 45.4166186)",,Point 306
"POINT (-75.6718762 45.4169085)",,Point 307
"POINT (-75.6870155 45.4169875)",,Point 308
"POINT (-75.686758 45.4167917)",,Point 309
"POINT (-75.6840329 45.41881)",,Point 310
"POINT (-75.6842689 45.4181473)",,Point 311
"POINT (-75.687906 45.4180569)",,Point 312
"POINT (-75.6909637 45.4185239)",,Point 313
"POINT (-75.6922619 45.4171156)",,Point 314
"POINT (-75.6922297 45.4168369)",,Point 315
"POINT (-75.6918435 45.4164001)",,Point 316
"POINT (-75.6929271 45.4145776)",,Point 317
